company,date_announced,date_reported,jobs_cut_sg,jobs_cut_global,pct_workforce,industry,source_link,notes,status,event_id
Ninja Van,2025-08-12,2025-08-12,,,,Other,https://web.archive.org/web/20260522050328/https://www.channelnewsasia.com/singapore/ninja-van-layoffs-retrenchments-singapore-logistics-employees-august-2025-5290286,~12% of Singapore staff in logistics,confirmed,ninja-van-2025-08
Ninja Van,2026-07-29,2026-07-29,,,12,Other,https://retailnews.asia/ninja-van-streamlines-operations-with-12-workforce-reduction-in-singapore,"Ninja Van announced a 12% workforce reduction in Singapore, a confirmed layoff event with a clear Singapore nexus.",confirmed,ninja-van-2026-07
Ninja Van,2024-04-30,2024-04-30,,,,Other,https://news.google.com/rss/articles/CBMivAFBVV95cUxOTjBhdzZrQkRZUzhDT3NwSFl0S2hZVTBRekZrRWdQSTRyM2RDRHVxeENhOElycjJCSmQtYTBHQmhreUFhTU5xbHBiLUZ0S2F5OUNnRmdaM0dtZThnMW1DUTFMOEhrSHZ0Ml9OaTIwc3FNcDB1VlMyQ3g1WG5tWG15X2FXUDJFb09Dd0xvNHJpVEJ2RzhCdjJtQllvckdvQk5CNWxJNFpNT2xqek5lZmh1OWw3eU1ib2xjWnQwNA?oc=5,"The Business Times reports Ninja Van laid off more than 20 employees from its tech team in Singapore, confirming a Singapore-based layoff event.",confirmed,ninja-van-2024-04
Mediacorp,2025-09-15,2025-09-15,93,,3,Other,https://web.archive.org/web/20260517210135/https://www.straitstimes.com/singapore/mediacorp-cuts-93-jobs-amid-evolving-media-landscape-economic-uncertainty,Amid evolving media landscape,confirmed,mediacorp-2025-09
Mediacorp,2026-08-03,2026-08-03,93,,,Other,https://pwf.khasmobile.com/analysis/693a5799249.html,"Credibly reported that Mediacorp is cutting 93 jobs in Singapore, a confirmed layoff event with a clear Singapore nexus.",confirmed,mediacorp-2026-08
Mediacorp,2025-09-01,2025-09-01,93,,,Other,https://vulcanpost.com/895807/mediacorp-layoff/,"Mediacorp, Singapore's national media network, laid off 93 employees.",confirmed,mediacorp-2025-09
GXS Bank,2025-04-01,2025-04-01,82,,10,Finance,https://web.archive.org/web/20260522050653/https://www.straitstimes.com/business/digital-bank-gxs-cuts-82-jobs-across-the-group-about-10-of-its-workforce,Grab-Singtel digital bank shifting from early-stage operations,confirmed,gxs-2025-82-jobs
GXS Bank,2025-12-03,2025-12-03,82,,,Finance,https://www.channelnewsasia.com/singapore/gxs-bank-layoff-82-people-workforce-5530276,"GXS Bank, the Grab-Singtel-backed Singapore digital bank, laid off 82 employees as part of a restructuring of its workforce.",confirmed,gxs-bank-2025-12
ShopBack,2024-03-19,2024-03-19,,195,24,Tech,https://web.archive.org/web/20260522050747/https://corporate.shopback.com/press/a-message-from-henry-on-focus-and-sustainability---a-painful-decision,Restructuring after failed fundraising,confirmed,shopback-2024-03
ShopBack,2026-07-27,2026-07-27,,195,24,Tech,https://w0wy.thepostpedia.com/energy/80b5399866.html,"Shopping-rewards platform ShopBack cut about 195 roles (24% of its workforce) to become leaner, per CEO Henry Chan; Singapore-specific headcount not broken out.",confirmed,shopback-2026-07
ShopBack,2026-04-10,2026-04-10,,,,Tech,https://news.google.com/rss/articles/CBMibEFVX3lxTE1zdWZESmFBMFNQOG1qemRVV2xudVozbDdLRTFtUzMwbUs4QVppRjJzQXhnU2VjaDVXMWtRZldRT1QtdTREY0tCSjJDcGJuNjBGTHlsN2taT1BIT2twZHBYUFlGd2doMTJtSXB0VA?oc=5,"Article reports ShopBack's FY2025 net profit and mentions the company underwent layoffs amid its BNPL exit. No headcount or specific announcement date provided, but ShopBack is a Singapore-based company, so the layoffs have a Singapore nexus.",confirmed,shopback-2025-layoffs
Carousell,2022-12-01,2022-12-01,,110,10,Tech,https://web.archive.org/web/20260522050904/https://www.straitstimes.com/singapore/jobs/carousell-cuts-110-jobs-to-rein-in-costs,Cost reduction exercise,confirmed,carousell-2022-12
