company,date_announced,current_status,new_status,evidence_url,evidence_note,checked_at
Citigroup,2026-07-15,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
HSBC,2026-03-19,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
HSBC,2025-09-08,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
HSBC,2025-02-14,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
HSBC,2024-10-30,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
DBS,2026-06-10,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Jumbo Seafood,2026-06-01,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Expeditors,2026-06-26,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
B For Bagel,2026-06-10,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Plaza Singapura,2026-07-01,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
KPMG,2026-07-09,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Otaku House,2026-07-01,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Curly's at Dempsey,2026-06-22,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Carnivore,2026-07-15,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Carnivore Brazilian Churrascaria,2026-07-16,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
Metro,2025-08-01,rumored,still-rumored,,LLM classification failed; no change.,2026-08-17
